NAICS6,SIC6
335122,364600
335129,364800
335129,369975
335211,363420
335212,363500
335212,363920
335221,363100
335222,363200
335224,363300
335228,363930
335311,354820
335311,361200
335312,362100
335312,769420
335313,361300
335314,362500
335911,369100
335912,369200
335921,335740
335929,335750
335931,364300
335932,364400
335991,362400
335999,362900
335999,369980
336111,371110
336112,371120
336120,371130
336211,371140
336211,371300
336211,371410
336212,371500
336213,371600
336214,379200
336214,379920
336311,359200
336312,371420
336321,364700
336322,367940
336322,369400
336322,371430
336330,371440
336340,329220
336340,371450
336350,371460
336360,239640
336360,239930
336360,253110
336370,346500
336391,358520
336399,351920
336399,371470
336411,372100
336412,372400
336413,372840
336414,376100
336415,376400
336419,376900
336510,353130
336510,374320
336611,373100
336612,373220
336991,375100
336991,394410
336992,371150
336992,379500
336999,379930
337110,243400
337110,254110
337110,571205
337121,251200
337121,251510
337121,571210
337122,251100
337122,571215
337124,251400
337125,251900
337127,253120
337127,259910
337127,395220
337127,399975
337129,251700
337211,252100
337212,254120
337214,252200
337215,242630
337215,254130
337215,254200
337215,349960
337910,251520
337920,259100
339111,382100
339112,382920
339112,384100
339113,259920
339113,384240
339114,369985
339114,384300
339115,385100
339116,807200
339911,347920
339911,391100
339912,347930
339912,391420
339913,391500
339914,347940
339914,349970
339914,396100
339920,394900
339931,394200
339932,394420
339941,395100
339942,253130
339942,357930
339942,395230
339943,395300
339944,395500
339950,399300
339991,305300
339992,393100
339993,313130
339993,396500
339994,239230
339994,399100
339995,399500
339999,249950
339999,399980
421110,501211
421110,501212
421110,501213
421110,501222
421110,501223
421120,501310
421120,501329
421120,501340
421130,501409
421140,501500
421210,502110
421210,502129
421220,502310
421220,502320
421220,502339
421220,502390
421310,503110
421310,503129
421310,503139
421320,503219
421320,503229
421320,503239
421330,503309
421390,503919
421390,503999
421410,504300
421420,504400
421430,504511
421430,504519
421430,504529
421440,504610
421440,504620
421450,504719
421450,504720
421460,504800
421490,504929
421490,504990
421510,505111
421510,505112
421510,505121
421510,505122
421520,505210
421520,505220
421610,506309
421620,506400
421690,506510
421690,506590
421710,507200
421720,507409
421730,507500
421740,507800
421810,508200
421820,508310
421820,508320
421820,508339
421830,508410
421830,508421
421830,508422
421830,508430
421830,508440
421830,508450
421830,508490
421830,508530
421840,508510
421840,508520
421840,508540
421840,508550
421840,508560
421840,508590
421850,508719
421850,508720
421850,508730
421850,508790
421860,508810
421860,508820
421860,508890
421910,509100
421920,509200
421930,509311
421930,509312
421930,509330
421930,509390
421940,509410
421940,509420
421990,509910
421990,509930
421990,509940
421990,509950
421990,509960
421990,509990
421990,782230
422110,511100
422120,511209
422130,511300
422210,512210
422210,512220
422310,513111
422310,513120
422320,513600
422330,513700
422340,513900
422410,514110
422410,514120
422410,514130
422420,514200
422430,514310
422430,514320
422440,514410
422440,514420
422450,514500
422460,514600
422470,514701
422480,514800
422490,514920
422490,514930
422490,514940
422490,514970
422490,514980
422490,514990
422510,515300
422520,515400
422590,515910
422590,515920
422590,515930
422590,515940
422590,515990
422610,516200
422690,516910
422690,516990
422710,517112
422710,517119
422710,517129
422720,517200
422810,518100
422820,518210
422820,518220
422910,519119
422910,519120
422920,519200
422930,519309
422940,519400
422950,519809
422990,519920
422990,519940
422990,519950
422990,519990
421110,501211
421110,501212
421110,501213
421110,501222
421110,501223
421120,501310
421120,501329
421120,501340
421130,501409
421140,501500
421210,502110
421210,502129
421220,502310
421220,502320
421220,502339
421220,502390
421310,503110
421310,503129
421310,503139
421320,503219
421320,503229
421320,503239
421330,503309
421390,503919
421390,503999
421410,504300
421420,504400
421430,504511
421430,504519
421430,504529
421440,504610
421440,504620
421450,504719
421450,504720
421460,504800
421490,504929
421490,504990
421510,505111
421510,505112
421510,505121
421510,505122
421520,505210
421520,505220
421610,506309
421620,506400
421690,506510
421690,506590
421710,507200
421720,507409
421730,507500
421740,507800
421810,508200
421820,508310
421820,508320
421820,508339
421830,508410
421830,508421
421830,508422
421830,508430
421830,508440
421830,508450
421830,508490
421830,508530
421840,508510
421840,508520
421840,508540
421840,508550
421840,508560
421840,508590
421850,508719
421850,508720
421850,508730
421850,508790
421860,508810
421860,508820
421860,508890
421910,509100
421920,509200
421930,509311
421930,509312
421930,509330
421930,509390
421940,509410
421940,509420
421990,509910
421990,509930
421990,509940
421990,509950
421990,509960
421990,509990
421990,782230
422110,511100
422120,511209
422130,511300
422210,512210
422210,512220
422310,513111
422310,513120
422320,513600
422330,513700
422340,513900
422410,514110
422410,514120
422410,514130
422420,514200
422430,514310
422430,514320
422440,514410
422440,514420
422450,514500
422460,514600
422470,514701
422480,514800
422490,514920
422490,514930
422490,514940
422490,514970
422490,514980
422490,514990
422510,515300
422520,515400
422590,515910
422590,515920
422590,515930
422590,515940
422590,515990
422610,516200
422690,516910
422690,516990
422710,517112
422710,517119
422710,517129
422720,517200
422810,518100
422820,518210
422820,518220
422910,519119
422910,519120
422920,519200
422930,519309
422940,519400
422950,519809
422990,519920
422990,519940
422990,519950
422990,519990
441110,551100
441120,552100
441210,556100
441221,557100
441222,555100
441229,559900
441310,501328
441310,553110
441310,573110
441320,501408
441320,553120
442110,502128
442110,571220
442110,571230
442110,571250
442110,571260
442210,502338
442210,571300
442291,571410
442291,571910
442299,571920
443111,572200
443112,573120
443112,599920
443112,599950
443120,504518
443120,504528
443120,573411
443120,573412
443120,573420
443130,594600
444110,521120
444120,519808
444120,523110
444130,525100
444190,503128
444190,503138
444190,503218
444190,503228
444190,503238
444190,503308
444190,503918
444190,503998
444190,506308
444190,507408
444190,521140
444190,521150
444190,523120
444210,508338
444210,526110
444220,519118
444220,519308
444220,526120
445110,541141
445110,541150
445120,541120
445210,541142
445210,542110
445220,542120
445230,543100
445291,546150
445292,544101
445299,545100
445299,549920
445310,592100
446110,591210
446110,591220
446120,508718
446120,599980
446130,599500
446191,549910
446199,504718
446199,599991
447110,541130
447110,554130
447190,554110
447190,554120
448110,561100
448120,562100
448130,564100
448140,565100
448150,563240
448150,569940
448190,563220
448190,563230
448190,569910
448190,569930
448210,566110
448210,566120
448210,566130
448210,566140
448210,566150
448310,594400
448320,594800
451110,594110
451110,594120
451110,594130
451110,594140
451110,594150
451110,594160
451110,594170
451120,594510
451120,594520
451130,571420
451130,594910
451130,594920
451140,573600
451211,594210
451211,594220
451211,594230
451212,599400
451220,573510
451220,573520
452110,531110
452110,531121
452110,531130
452910,531122
452910,539930
452910,541160
452990,533100
452990,539910
452990,539920
452990,553130
453110,599200
453210,504928
453210,511208
453210,594310
453210,594320
453220,594700
453310,593210
453310,593221
453910,599910
453920,599940
453930,527100
453991,599300
453998,599960
453998,599970
453998,599992
454110,504538
454110,511218
454110,596110
454110,596120
454110,596130
454110,596140
454210,596200
454311,517118
454311,598300
454312,517128
454312,598400
454319,598900
454390,542130
454390,596350
454390,596360
454390,596370
454390,596380
454390,596391
454390,596392
454390,596393
481111,451201
481112,451202
481211,452201
481212,452202
481219,452209
483111,441200
483112,448101
483113,442400
483113,443200
483113,449201
483114,448102
483114,448201
483211,444900
483211,449202
483212,448202
483212,448909
484110,421221
484110,421222
484110,421491
484110,421492
484121,421321
484122,421322
484210,421210
484210,421310
484210,421410
484220,421230
484220,421240
484220,421270
484220,421290
484220,421499
484230,421330
484230,421340
484230,421390
485111,411101
485112,411102
485113,411103
485119,411109
485210,413100
485310,412100
485320,411920
485410,411991
485410,415100
485510,414100
485510,414200
485991,411992
485999,411104
485999,411999
486110,461200
486210,492200
486210,492301
486910,461300
486990,461900
487110,411910
487110,478903
487110,799993
487210,448901
487210,799994
487990,452203
487990,799995
